container_restart_count,deployment_available_replicas,deployment_replicas,hpa_current_cpu_utilization,hpa_current_replicas,hpa_desired_replicas,hpa_efficiency,hpa_target_cpu_utilization,http_error_rate,http_request_rate,http_response_time_mean,http_response_time_p50,http_response_time_p90,http_response_time_p99,http_response_time_std,http_success_rate,label,network_drop_in,network_drop_out,network_errors_in,network_errors_out,network_in,network_out,network_packets_in,network_packets_out,pod_count,pod_count_mean_3,pod_cpu_usage_cores,pod_cpu_usage_cores_mean_3,pod_cpu_usage_cores_std_3,pod_failed_count,pod_memory_usage_bytes,pod_pending_count,pod_ready_count,pod_restart_count
0,1,1,0,5,5,1.0,50,0.0,12.992339597743698,0.0769684314727783,0.0818591117858886,0.0996968746185302,0.10635347366333,0.0209397493094868,1.0,ATTACK,0,0,0,0,20957308737,2894775800,16276823,5884675,5,5.0,0.059,0.023,0.0311769145362398,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,13.121863682665378,0.0762086868286132,0.0844297409057617,0.1009188175201416,0.1076798725128173,0.0244101728159893,1.0,ATTACK,0,0,0,0,20957312493,2894788930,16276880,5884775,5,5.0,0.071,0.045,0.0351567916624939,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,11.454526586011962,0.0873017311096191,0.0936551094055175,0.101371955871582,0.104014081954956,0.0155934069401375,1.0,ATTACK,0,0,0,0,20957315925,2894801166,16276933,5884869,5,5.0,0.073,0.0676666666666666,0.0075718777944003,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,11.934263307560151,0.0837923526763916,0.0753374099731445,0.1088749408721923,0.1119378948211669,0.0207851601069795,1.0,ATTACK,0,0,0,0,20957319654,2894813411,16276989,5884965,5,5.0,0.073,0.0723333333333333,0.0011547005383794,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,63.324013068500925,0.0157917976379394,0.016512393951416,0.0170855522155761,0.01721773147583,0.0013552533355699,1.0,NORMAL,0,0,0,0,20957324485,2894827314,16277057,5885080,5,5.0,0.073,0.073,0.0,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,65.46664627160602,0.015274953842163,0.0144383907318115,0.0200044155120849,0.0219017887115478,0.0039673098989778,1.0,NORMAL,0,0,0,0,20957327557,2894837672,16277104,5885166,5,5.0,0.036,0.0606666666666666,0.0213619599600161,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,63.47389193573772,0.0157545089721679,0.0109572410583496,0.0257534980773925,0.034000539779663,0.0095996646686178,1.0,NORMAL,0,0,0,0,20957330809,2894848158,16277154,5885252,5,5.0,0.005,0.038,0.0340440890610983,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,54.65532114515057,0.018296480178833,0.0145967006683349,0.0284337997436523,0.0334072589874267,0.008489086516283,1.0,NORMAL,0,0,0,0,20957334121,2894859492,16277205,5885346,5,5.0,0.005,0.0153333333333333,0.0178978583448783,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,65.1121605300497,0.0153581142425537,0.01381516456604,0.023254919052124,0.0288885879516601,0.0073054888811919,1.0,NORMAL,0,0,0,0,20957337313,2894870108,16277254,5885434,5,5.0,0.006,0.0053333333333333,0.0005773502691867,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,52.37184561789054,0.0190942287445068,0.0196843147277832,0.029256534576416,0.0323681545257568,0.0088911045739466,1.0,NORMAL,0,0,0,0,20957340598,2894880791,16277304,5885523,5,5.0,0.005,0.0053333333333333,0.0005773502691867,0,23068672,0,5,0
